scene,sarcasm,implicit_emotion,explicit_emotion,v_audio,a_audio,v_text,a_text,n_matched_words,divergence
1_10009,0,Happiness,Happiness,0.6475165486335754,0.7942030429840088,0.5382857142857143,0.5001428571428571,7,0.3136921549373885
1_1001,0,Excitement,Excitement,0.571686863899231,0.6910407543182373,0.4917142857142857,0.4385714285714286,7,0.2648327277822652
1_105,1,Disgust,Neutral,0.620890736579895,0.8643413782119751,0.5783333333333333,0.3907083333333334,12,0.4755411588623049
1_10810,0,Neutral,Neutral,0.7707436680793762,0.6928087472915649,0.6340526315789474,0.4152631578947369,19,0.30938001495441525
1_10853,0,Sadness,Sadness,0.5262654423713684,0.6210645437240601,0.5048076923076924,0.37388461538461537,13,0.24810955646989535
1_10977,0,Sadness,Sadness,0.5519286394119263,0.6718360185623169,0.6341428571428571,0.4580000000000001,7,0.22909609431784822
1_11120,0,Neutral,Neutral,0.7097285389900208,0.7216286659240723,0.6040500000000001,0.46604999999999996,10,0.27656537758474736
1_11236,0,Anger,Anger,0.48983779549598694,0.8202005624771118,0.42373809523809525,0.46004761904761904,21,0.36616842167930125
1_11253,0,Happiness,Happiness,0.7048282623291016,0.7871694564819336,0.5163,0.3928,10,0.43711574428598
1_11439,1,Disgust,Neutral,0.6902539730072021,0.7511402368545532,0.630607142857143,0.4764285714285714,14,0.2811125103371719
1_11529,0,Neutral,Neutral,0.35357150435447693,0.670390248298645,0.43327272727272725,0.5432727272727272,11,0.150037159018822
1_11723,0,Sadness,Sadness,0.48128005862236023,0.6360194087028503,0.6701874999999999,0.423125,8,0.28462264608562454
1_11736,0,Sadness,Sadness,0.24497239291667938,0.6166784763336182,0.5159444444444444,0.4520555555555556,9,0.31705923540352204
1_1180,1,Frustration,Sadness,0.5969210267066956,0.7720416784286499,0.5775714285714286,0.40871428571428575,14,0.3638422752300976
1_1185,0,Happiness,Happiness,0.9076569676399231,0.7143281102180481,0.66025,0.4292500000000001,6,0.377464881230394
1_11889,0,Happiness,Happiness,0.843616247177124,0.6912530660629272,0.6293214285714285,0.4572142857142857,14,0.31732699221517174
1_11913,1,Ridicule,Sadness,0.45580095052719116,0.5906744003295898,0.5278333333333333,0.46049999999999996,12,0.1487751278739122
1_12202,1,Sadness,Neutral,0.6105605363845825,0.7309933304786682,0.49654999999999994,0.6322,10,0.1508592872638857
1_12320,0,Fear,Fear,0.7311704158782959,0.6987115144729614,0.5138076923076923,0.445423076923077,13,0.33376876156179197
1_12331,0,Surprise,Surprise,0.530805230140686,0.7048998475074768,0.6786000000000001,0.502,5,0.25102119853973476
1_1262,0,Neutral,Neutral,0.6238540410995483,0.5545037388801575,0.5724374999999999,0.4204375,8,0.1435876634885915
1_1466,1,Ridicule,Neutral,0.6764916181564331,0.5489445924758911,0.5585,0.47891666666666666,6,0.13720762496419708
1_1470,0,Sadness,Sadness,0.21401597559452057,0.5585291981697083,0.5041875,0.47643749999999996,8,0.30156021037959607
1_1484,0,Anger,Anger,0.27085983753204346,0.7471326589584351,0.5865,0.45868749999999997,8,0.4275854556569422
1_1549,1,Disgust,Neutral,0.573530912399292,0.7501866817474365,0.5711,0.47350000000000003,10,0.27669736029008346
1_1560,1,Disgust,Happiness,0.6455876231193542,0.688961386680603,0.5572727272727273,0.49168181818181816,11,0.2161452034523721
1_1638,1,Frustration,Neutral,0.49344637989997864,0.6525614261627197,0.5188888888888887,0.5433888888888889,9,0.11209801139385456
1_1666,0,Frustration,Frustration,0.499885231256485,0.7174033522605896,0.5408571428571428,0.4534285714285714,7,0.26713551328029034
1_1722,0,Neutral,Neutral,0.6116020679473877,0.49051856994628906,0.606,0.5780833333333334,6,0.08774378013464093
1_1798,1,Anger,Sadness,0.5032966136932373,0.7958719730377197,0.5619000000000001,0.4388000000000001,10,0.3618490718734396
1_1803,1,Sadness,Neutral,0.6013123989105225,0.6450408101081848,0.5685555555555556,0.3942777777777777,9,0.2528934739571637
1_182,1,Disgust,Happiness,0.667579174041748,0.7560434341430664,0.5131666666666667,0.3832777777777778,9,0.40348166872771807
1_1973,1,Frustration,Happiness,0.9561272859573364,0.7990792989730835,0.688,0.4495,8,0.44056546363209154
1_2198,1,Anger,Neutral,0.6745363473892212,0.771838903427124,0.5949705882352941,0.4231176470588235,17,0.35768313445398386
1_2216,0,Surprise,Surprise,0.25082147121429443,0.9046850204467773,0.44628571428571434,0.6280714285714285,7,0.3387054022741078
1_2354,1,Frustration,Neutral,0.7545287609100342,0.7053087949752808,0.4323333333333334,0.549,6,0.35810938683307003
1_2464,1,Frustration,Happiness,0.7278206944465637,0.5700540542602539,0.6735714285714287,0.4390714285714286,7,0.14177246234840532
1_2575,0,Surprise,Surprise,0.2559345066547394,0.640764594078064,0.532,0.524125,4,0.299694763922658
1_2614,1,Frustration,Neutral,0.612647294998169,0.6602863073348999,0.5214375,0.4443125,8,0.23444383582926737
1_2616,1,Frustration,Excitement,0.5717558860778809,0.7961018681526184,0.428625,0.5388124999999999,8,0.2944219243089974
1_2669,0,Surprise,Surprise,0.2927587926387787,0.5180839896202087,0.504625,0.5834375,8,0.22171687157406295
1_2778,1,Disgust,Neutral,0.7930974960327148,0.7718683481216431,0.578625,0.4306875,8,0.40299233575777416
1_2792,0,Neutral,Neutral,0.6319258213043213,0.6714005470275879,0.5834999999999999,0.4799375,8,0.1974921733793175
1_2797,1,Anger,Neutral,0.6320052742958069,0.7564870119094849,0.6255000000000001,0.3838333333333333,6,0.3727104543073636
1_2830,0,Sadness,Sadness,0.8272988200187683,0.8240659236907959,0.5771818181818182,0.4174545454545454,11,0.47737964715631526
1_3069,0,Frustration,Frustration,0.5326194763183594,0.5952476263046265,0.45070000000000005,0.52555,10,0.10755723923927017
1_3177,0,Happiness,Happiness,0.7775399684906006,0.740848183631897,0.664125,0.5106875,8,0.2565870132481886
1_3256,1,Disgust,Happiness,0.6285947561264038,0.6385089755058289,0.592375,0.431375,8,0.21027685213238637
1_3348,0,Happiness,Happiness,0.7360953092575073,0.6737176179885864,0.5311818181818182,0.5126363636363637,11,0.2606467136345901
1_3371,0,Disgust,Disgust,0.47390565276145935,0.48335909843444824,0.5156052631578948,0.5150789473684212,19,0.0523928079378131
1_3419,1,Disgust,Neutral,0.5149868726730347,0.6107064485549927,0.6350416666666666,0.47104166666666664,12,0.18417221522468336
1_3649,0,Neutral,Neutral,0.8263397216796875,0.7740086317062378,0.5923333333333334,0.4124999999999999,6,0.430636134787852
1_3766,1,Frustration,Neutral,0.6132910251617432,0.6535606384277344,0.5966842105263158,0.4621052631578948,19,0.19217426209576177
1_3842,0,Surprise,Surprise,0.5157034993171692,0.7743324041366577,0.561375,0.5541875,8,0.22483252609878313
1_4286,0,Disgust,Disgust,0.20629547536373138,0.8651893138885498,0.6547222222222222,0.4215555555555555,9,0.6307911372480962
1_430,0,Excitement,Excitement,0.8631459474563599,0.785039484500885,0.529,0.4879285714285714,7,0.4471335470171885
1_4352,0,Sadness,Sadness,0.7000172734260559,0.7117225527763367,0.6076874999999999,0.402625,8,0.322592752852923
1_4639,0,Happiness,Happiness,0.7305346727371216,0.7368724942207336,0.7797142857142857,0.46964285714285714,7,0.2717173407520345
1_4743,1,Disgust,Happiness,0.9033198356628418,0.7959831953048706,0.6061944444444445,0.4835833333333333,18,0.4311347490826055
1_4789,1,Ridicule,Surprise,0.6315462589263916,0.6951711177825928,0.6107142857142858,0.45821428571428574,7,0.23787078713401894
1_5134,1,Disgust,Happiness,0.9571899771690369,0.7356805801391602,0.6258333333333334,0.47452083333333334,24,0.4219024043137759
1_5169,0,Excitement,Excitement,0.5020734667778015,0.7930624485015869,0.729142857142857,0.6090714285714285,7,0.2922553736985821
1_5211,1,Disgust,Neutral,0.6089373826980591,0.7266188859939575,0.5345555555555556,0.4558333333333333,9,0.2808157255902471
1_5617,1,Disgust,Happiness,0.7636166214942932,0.7456430196762085,0.6826,0.5479,5,0.2136960336295808
1_5627,1,Disgust,Happiness,0.7716761231422424,0.6938484311103821,0.5764117647058823,0.48567647058823527,17,0.28541852571828197
1_5919,0,Frustration,Frustration,0.5836527347564697,0.7423136234283447,0.6252142857142857,0.5102142857142857,14,0.23579114717334904
1_5953,0,Happiness,Happiness,0.7640295624732971,0.6198785901069641,0.6298333333333334,0.5055333333333334,15,0.17630503583849555
