scenario,step,timestamp_ms,value,confidence,expected
sustained,0,400,0.5,0.9,0
sustained,1,800,0.5,0.9,0
sustained,2,1200,0.5,0.9,0
sustained,3,1600,0.5,0.9,0
sustained,4,2000,0.5,0.9,0
sustained,5,2400,0.95,0.9,0
sustained,6,2800,0.95,0.9,0
sustained,7,3200,0.95,0.9,1
sustained,8,3600,0.95,0.9,1
sustained,9,4000,0.95,0.9,1
sustained,10,4400,0.95,0.9,1
sustained,11,4800,0.95,0.9,1
sustained,12,5200,0.95,0.9,1
sustained,13,5600,0.95,0.9,1
sustained,14,6000,0.95,0.9,1
sustained,15,6400,0.95,0.9,1
sustained,16,6800,0.95,0.9,1
sustained,17,7200,0.95,0.9,1
sustained,18,7600,0.95,0.9,1
sustained,19,8000,0.95,0.9,1
sustained,20,8400,0.95,0.9,1
sustained,21,8800,0.95,0.9,1
sustained,22,9200,0.95,0.9,1
sustained,23,9600,0.95,0.9,1
sustained,24,10000,0.95,0.9,1
sustained,25,10400,0.95,0.9,1
sustained,26,10800,0.95,0.9,1
sustained,27,11200,0.95,0.9,1
sustained,28,11600,0.95,0.9,1
sustained,29,12000,0.95,0.9,1
sustained,30,12400,0.95,0.9,1
sustained,31,12800,0.95,0.9,1
sustained,32,13200,0.95,0.9,1
sustained,33,13600,0.95,0.9,1
sustained,34,14000,0.95,0.9,1
sustained,35,14400,0.95,0.9,1
sustained,36,14800,0.95,0.9,1
sustained,37,15200,0.95,0.9,1
sustained,38,15600,0.95,0.9,1
sustained,39,16000,0.5,0.9,0
sustained,40,16400,0.5,0.9,0
sustained,41,16800,0.5,0.9,0
sustained,42,17200,0.5,0.9,0
sustained,43,17600,0.5,0.9,0
isolated_spike,0,400,0.5,0.9,0
isolated_spike,1,800,0.5,0.9,0
isolated_spike,2,1200,0.5,0.9,0
isolated_spike,3,1600,0.5,0.9,0
isolated_spike,4,2000,0.5,0.9,0
isolated_spike,5,2400,0.95,0.9,0
isolated_spike,6,2800,0.5,0.9,0
isolated_spike,7,3200,0.5,0.9,0
isolated_spike,8,3600,0.5,0.9,0
isolated_spike,9,4000,0.5,0.9,0
isolated_spike,10,4400,0.5,0.9,0
low_confidence_hold,0,400,0.5,0.9,0
low_confidence_hold,1,800,0.5,0.9,0
low_confidence_hold,2,1200,0.5,0.9,0
low_confidence_hold,3,1600,0.5,0.9,0
low_confidence_hold,4,2000,0.5,0.9,0
low_confidence_hold,5,2400,0.95,0.9,0
low_confidence_hold,6,2800,0.95,0.9,0
low_confidence_hold,7,3200,0.95,0.9,1
low_confidence_hold,8,3600,0.5,0.1,1
low_confidence_hold,9,4000,0.5,0.1,1
low_confidence_hold,10,4400,0.5,0.1,1
low_confidence_hold,11,4800,0.5,0.1,1
low_confidence_hold,12,5200,0.5,0.1,1
low_confidence_hold,13,5600,0.5,0.1,1
low_confidence_hold,14,6000,0.5,0.1,1
low_confidence_hold,15,6400,0.5,0.1,1
low_confidence_hold,16,6800,0.5,0.9,0
low_confidence_hold,17,7200,0.5,0.9,0
low_confidence_hold,18,7600,0.5,0.9,0
silence_hold,0,400,0.5,0.9,0
silence_hold,1,800,0.5,0.9,0
silence_hold,2,1200,0.5,0.9,0
silence_hold,3,1600,0.5,0.9,0
silence_hold,4,2000,0.5,0.9,0
silence_hold,5,2400,0.95,0.9,0
silence_hold,6,2800,0.95,0.9,0
silence_hold,7,3200,0.95,0.9,1
silence_hold,8,3600,,,1
silence_hold,9,4000,,,1
silence_hold,10,4400,,,1
silence_hold,11,4800,,,1
silence_hold,12,5200,,,1
silence_hold,13,5600,,,1
silence_hold,14,6000,,,1
silence_hold,15,6400,,,1
silence_hold,16,6800,0.5,0.9,0
silence_hold,17,7200,0.5,0.9,0
silence_hold,18,7600,0.5,0.9,0
falling_negative_control,0,400,0.5,0.9,0
falling_negative_control,1,800,0.5,0.9,0
falling_negative_control,2,1200,0.5,0.9,0
falling_negative_control,3,1600,0.5,0.9,0
falling_negative_control,4,2000,0.5,0.9,0
falling_negative_control,5,2400,0.05,0.9,0
falling_negative_control,6,2800,0.05,0.9,0
falling_negative_control,7,3200,0.05,0.9,0
falling_negative_control,8,3600,0.05,0.9,0
falling_negative_control,9,4000,0.05,0.9,0
falling_negative_control,10,4400,0.05,0.9,0
falling_negative_control,11,4800,0.05,0.9,0
falling_negative_control,12,5200,0.05,0.9,0
falling_negative_control,13,5600,0.05,0.9,0
falling_negative_control,14,6000,0.05,0.9,0
falling_negative_control,15,6400,0.05,0.9,0
falling_negative_control,16,6800,0.05,0.9,0
falling_negative_control,17,7200,0.5,0.9,0
falling_negative_control,18,7600,0.5,0.9,0
falling_negative_control,19,8000,0.5,0.9,0
falling_negative_control,20,8400,0.5,0.9,0
falling_negative_control,21,8800,0.5,0.9,0
sign_reversal_pending,0,400,0.5,0.9,0
sign_reversal_pending,1,800,0.5,0.9,0
sign_reversal_pending,2,1200,0.5,0.9,0
sign_reversal_pending,3,1600,0.5,0.9,0
sign_reversal_pending,4,2000,0.5,0.9,0
sign_reversal_pending,5,2400,0.95,0.9,0
sign_reversal_pending,6,2800,0.95,0.9,0
sign_reversal_pending,7,3200,0.05,0.9,0
sign_reversal_pending,8,3600,0.05,0.9,0
sign_reversal_pending,9,4000,0.95,0.9,0
sign_reversal_pending,10,4400,0.95,0.9,0
sign_reversal_pending,11,4800,0.95,0.9,1
sign_reversal_pending,12,5200,0.5,0.9,0
sign_reversal_pending,13,5600,0.5,0.9,0
sign_reversal_pending,14,6000,0.5,0.9,0
gap_boundary,0,400,0.5,0.9,0
gap_boundary,1,800,0.5,0.9,0
gap_boundary,2,1200,0.5,0.9,0
gap_boundary,3,1600,0.5,0.9,0
gap_boundary,4,2000,0.5,0.9,0
gap_boundary,5,3200,0.95,0.9,0
gap_boundary,6,4400,0.95,0.9,0
gap_boundary,7,5600,0.95,0.9,1
gap_boundary,8,6000,0.5,0.9,0
gap_boundary,9,6400,0.5,0.9,0
gap_boundary,10,6800,0.5,0.9,0
gap_reset,0,400,0.5,0.9,0
gap_reset,1,800,0.5,0.9,0
gap_reset,2,1200,0.5,0.9,0
gap_reset,3,1600,0.5,0.9,0
gap_reset,4,2000,0.5,0.9,0
gap_reset,5,2400,0.95,0.9,0
gap_reset,6,2800,0.95,0.9,0
gap_reset,7,4001,0.95,0.9,0
gap_reset,8,4401,0.95,0.9,0
gap_reset,9,4801,0.95,0.9,1
gap_reset,10,5201,0.5,0.9,0
gap_reset,11,5601,0.5,0.9,0
gap_reset,12,6001,0.5,0.9,0
steady_nominal,0,400,0.5,0.9,0
steady_nominal,1,800,0.5,0.9,0
steady_nominal,2,1200,0.5,0.9,0
steady_nominal,3,1600,0.5,0.9,0
steady_nominal,4,2000,0.5,0.9,0
