scenario,step,governed,protected_present,directive_count,transitions
sustained,0,0,1,0,0
sustained,1,0,1,0,0
sustained,2,0,1,0,0
sustained,3,0,1,0,0
sustained,4,0,1,0,0
sustained,5,0,1,0,0
sustained,6,0,1,0,0
sustained,7,1,1,1,1
sustained,8,1,1,1,1
sustained,9,1,1,1,1
sustained,10,1,1,1,1
sustained,11,1,1,1,1
sustained,12,1,1,1,1
sustained,13,1,1,1,1
sustained,14,1,1,1,1
sustained,15,1,1,1,1
sustained,16,1,1,1,1
sustained,17,1,1,1,1
sustained,18,1,1,1,1
sustained,19,1,1,1,1
sustained,20,1,1,1,1
sustained,21,1,1,1,1
sustained,22,1,1,1,1
sustained,23,1,1,1,1
sustained,24,1,1,1,1
sustained,25,1,1,1,1
sustained,26,1,1,1,1
sustained,27,1,1,1,1
sustained,28,1,1,1,1
sustained,29,1,1,1,1
sustained,30,1,1,1,1
sustained,31,1,1,1,1
sustained,32,1,1,1,1
sustained,33,1,1,1,1
sustained,34,1,1,1,1
sustained,35,1,1,1,1
sustained,36,1,1,1,1
sustained,37,1,1,1,1
sustained,38,1,1,1,1
sustained,39,0,1,0,2
sustained,40,0,1,0,2
sustained,41,0,1,0,2
sustained,42,0,1,0,2
sustained,43,0,1,0,2
isolated_spike,0,0,1,0,0
isolated_spike,1,0,1,0,0
isolated_spike,2,0,1,0,0
isolated_spike,3,0,1,0,0
isolated_spike,4,0,1,0,0
isolated_spike,5,0,1,0,0
isolated_spike,6,0,1,0,0
isolated_spike,7,0,1,0,0
isolated_spike,8,0,1,0,0
isolated_spike,9,0,1,0,0
isolated_spike,10,0,1,0,0
low_confidence_hold,0,0,1,0,0
low_confidence_hold,1,0,1,0,0
low_confidence_hold,2,0,1,0,0
low_confidence_hold,3,0,1,0,0
low_confidence_hold,4,0,1,0,0
low_confidence_hold,5,0,1,0,0
low_confidence_hold,6,0,1,0,0
low_confidence_hold,7,1,1,1,1
low_confidence_hold,8,1,1,1,1
low_confidence_hold,9,1,1,1,1
low_confidence_hold,10,1,1,1,1
low_confidence_hold,11,1,1,1,1
low_confidence_hold,12,1,1,1,1
low_confidence_hold,13,1,1,1,1
low_confidence_hold,14,1,1,1,1
low_confidence_hold,15,1,1,1,1
low_confidence_hold,16,0,1,0,2
low_confidence_hold,17,0,1,0,2
low_confidence_hold,18,0,1,0,2
silence_hold,0,0,1,0,0
silence_hold,1,0,1,0,0
silence_hold,2,0,1,0,0
silence_hold,3,0,1,0,0
